"Policy","Rule_name","mean.wait","sd.wait","mean.OT","sd.OT","mean.Idle","sd.Idle","excess.wait.rate","extreme.wait.rate","excess.OT.rate","extreme.OT.rate"
"3;A-1,2,4,5,6,7,8,9,10,13,14,15,16;B","BBABBBBBBBCCBBBB",5.637509375,2.28669089269438,6.66862666666667,10.5677428021668,31.1450316666667,18.2805555195498,13.204375,0.690625,4.63,1.33
"3;A-1,2,4,5,6,7,8,9,11,12,13,14,15;B","BBABBBBBBCBBBBBC",5.9381553125,2.303980784405,5.63982333333333,10.3829612491651,29.0415633333333,17.7547170958566,13.963125,0.796875,4.28,1.28
"3;A-1,2,4,5,6,7,8,9,11,12,13,14,16;B","BBABBBBBBCBBBBCB",5.805344375,2.26712741415111,6.06428,10.371936509397,30.2804483333333,18.1642212524797,13.645,0.760625,4.36,1.28
"3;A-1,2,4,5,6,7,8,9,11,12,13,15,16;B","BBABBBBBBCBBBCBB",5.70235072916667,2.23713890502273,6.33851666666667,10.4226339594082,30.7017483333333,18.2634138962097,13.396875,0.718125,4.39,1.28
"3;A-1,2,4,5,6,7,8,9,11,12,14,15,16;B","BBABBBBBBCBBCBBB",5.62044010416667,2.21825326206183,6.535225,10.5098084532219,30.9811133333333,18.2874319723675,13.1725,0.685,4.53,1.29
"3;A-1,2,4,5,6,7,8,9,11,13,14,15,16;B","BBABBBBBBCBCBBBB",5.55909833333333,2.21493019754716,6.735725,10.6197899603329,31.224005,18.2628770278197,12.970625,0.65375,4.67,1.33
"3;A-1,2,4,5,6,7,8,9,12,13,14,15,16;B","BBABBBBBBCCBBBBB",5.51645364583333,2.22885304206506,6.886025,10.6959442310577,31.40213,18.2341125983505,12.810625,0.634375,4.79,1.37
"3;A-1,2,4,5,6,7,8,10,11,12,13,14,15;B","BBABBBBBCBBBBBBC",5.88539364583333,2.28604337243099,5.733015,10.4602701970908,29.1563983333333,17.7183306952004,13.785,0.77375,4.33,1.33
"3;A-1,2,4,5,6,7,8,10,11,12,13,14,16;B","BBABBBBBCBBBBBCB",5.75169479166667,2.23841553067929,6.15328166666667,10.446184110915,30.3810766666667,18.126543050252,13.46,0.738125,4.41,1.33
"3;A-1,2,4,5,6,7,8,10,11,12,13,15,16;B","BBABBBBBCBBBBCBB",5.6467428125,2.19849969324215,6.42301,10.4949044438848,30.7940383333333,18.224994164754,13.2125,0.695,4.44,1.33
"3;A-1,2,4,5,6,7,8,10,11,12,14,15,16;B","BBABBBBBCBBBCBBB",5.562228125,2.16959423007125,6.61478666666667,10.578047481932,31.0666216666667,18.2510189394543,12.97625,0.66125,4.58,1.34
"3;A-1,2,4,5,6,7,8,10,11,13,14,15,16;B","BBABBBBBCBBCBBBB",5.49649510416667,2.15622785014096,6.80737833333333,10.6814163552176,31.30156,18.2300078181983,12.7525,0.63125,4.72,1.37
"3;A-1,2,4,5,6,7,8,10,12,13,14,15,16;B","BBABBBBBCBCBBBBB",5.44582145833333,2.15955850783295,6.95252666666667,10.7542313077511,31.4739733333333,18.2021852720656,12.584375,0.609375,4.83,1.4
"3;A-1,2,4,5,6,7,8,11,12,13,14,15,16;B","BBABBBBBCCBBBBBB",5.41357854166667,2.18147672328809,7.08625166666667,10.8604429999676,31.6321533333333,18.154013394198,12.488125,0.591875,5,1.39
"3;A-1,2,4,5,6,7,9,10,11,12,13,14,15;B","BBABBBBCBBBBBBBC",5.83796145833333,2.27675934157154,5.80610666666667,10.5250415081075,29.2490966666667,17.6753079495911,13.680625,0.746875,4.4,1.35
"3;A-1,2,4,5,6,7,9,10,11,12,13,14,16;B","BBABBBBCBBBBBBCB",5.70363125,2.21998308473665,6.22706666666667,10.5081405479329,30.4636733333333,18.0823551095453,13.355,0.710625,4.48,1.35
"3;A-1,2,4,5,6,7,9,10,11,12,13,15,16;B","BBABBBBCBBBBBCBB",5.59754447916667,2.17149731608721,6.49416666666667,10.5543700585987,30.8726983333333,18.1818879436691,13.098125,0.666875,4.5,1.35
"3;A-1,2,4,5,6,7,9,10,11,12,14,15,16;B","BBABBBBCBBBBCBBB",5.51111947916667,2.13403848535377,6.68263833333333,10.6348548390369,31.1410966666667,18.2112806882187,12.861875,0.631875,4.64,1.36
"3;A-1,2,4,5,6,7,9,10,11,13,14,15,16;B","BBABBBBCBBBCBBBB",5.44267552083333,2.11156451817382,6.87227166666667,10.7332130825694,31.37253,18.1930757930288,12.626875,0.603125,4.78,1.39
"3;A-1,2,4,5,6,7,9,10,12,13,14,15,16;B","BBABBBBCBBCBBBBB",5.38835052083333,2.10549341240521,7.01469333333333,10.80435888996,31.54176,18.1667257838632,12.451875,0.57875,4.89,1.42
"3;A-1,2,4,5,6,7,9,11,12,13,14,15,16;B","BBABBBBCBCBBBBBB",5.34633885416667,2.11748126562518,7.14121,10.9041941035306,31.690665,18.1238612113689,12.32375,0.560625,5.06,1.42
"3;A-1,2,4,5,6,7,10,11,12,13,14,15,16;B","BBABBBBCCBBBBBBB",5.3253246875,2.14816410447759,7.25146166666667,10.9976883821432,31.82316,18.0687862977507,12.27,0.555,5.14,1.45
"3;A-1,2,4,5,6,8,9,10,11,12,13,14,15;B","BBABBBCBBBBBBBBC",5.791348125,2.27470311986274,5.87729166666667,10.6063760772394,29.3334816666667,17.6280677297021,13.53125,0.739375,4.49,1.38
"3;A-1,2,4,5,6,8,9,10,11,12,13,14,16;B","BBABBBCBBBBBBBCB",5.65692541666667,2.20939426818449,6.29870833333333,10.5860072655118,30.5465783333333,18.0332307993127,13.20625,0.7025,4.56,1.38
"3;A-1,2,4,5,6,8,9,10,11,12,13,15,16;B","BBABBBCBBBBBBCBB",5.5502271875,2.15297638797005,6.56463666666667,10.6305520771533,30.952635,18.1340550785262,12.93625,0.66,4.58,1.38
